1	11.7967	49.4673
2	57.7281	20.9584
3	66.2948	18.8896
4	61.9169	18.488
5	59.8623	20.1767
6	61.9838	19.779
7	58.5781	20.0395
8	61.9075	19.9008
9	58.7087	19.047
10	58.8319	81.2865
11	58.5762	19.1029
12	7.6768	48.1172
13	13.0708	46.4205
14	50.2621	75.8056
15	48.2737	77.5384
16	9.9266	49.8778
17	10.485	52.5163
18	11.0448	49.2532
19	60.8205	81.2653
20	57.839	18.4096
21	58.7309	23.3088
22	45.6756	79.5821
23	7.5281	50.2601
24	57.7446	16.3871
25	11.4883	50.0671
26	9.0671	48.6412
27	11.8727	47.7018
28	41.9903	83.9305
29	11.0721	47.8609
30	10.2013	51.4535
31	62.0334	17.9548
32	7.5655	51.2961
33	60.201	21.5719
34	61.6721	21.1442
35	61.951	23.0034
36	12.3567	52.9335
37	55.0051	72.4133
38	51.565	75.6657
39	10.1189	48.6337
40	58.4221	22.6692
41	52.4759	74.2898
42	41.0539	88.6578
43	12.2094	49.4875
44	60.2422	19.1998
45	9.9381	49.6192
46	58.9895	20.8907
47	58.296	82.9783
48	56.9044	18.2243
49	12.1776	49.7261
50	12.8745	48.9279
51	12.2031	50.5495
52	10.7793	50.6203
53	59.1556	19.8711
54	12.7926	51.505
55	61.3669	19.3937
56	9.5325	52.4098
57	57.8059	20.6143
58	61.0931	20.879
59	55.035	72.5187
60	59.067	18.527
61	6.7254	50.9373
62	54.425	69.7585
63	44.0047	82.4582
64	62.2065	21.9195
65	54.5289	76.4829
66	47.3326	83.4324
67	53.7735	78.7628
68	11.6899	54.5363
69	11.124	52.2485
70	50.1054	74.1175
71	57.4176	20.0237
72	61.7427	22.0917
73	9.6761	51.0741
74	10.4858	51.6548
75	54.2173	88.3026
76	9.7958	49.9225
77	61.1503	21.6798
78	47.682	80.8657
79	11.1361	49.4113
80	7.7524	48.974
81	51.5934	87.0624
82	58.9051	20.6554
83	53.3997	79.4027
84	52.4387	80.1319
85	13.2349	50.3103
86	60.0859	20.6373
